year	algorithm	n_articles	pct_missing_params	pct_missing_justification	pct_missing_evaluation	pct_missing_tuning	pct_missing_reporting_signals
2000	OPTICS	64	98.4375	18.75	75.0	90.625	100.0
2000	generic cluster*	218	98.62385321100918	42.20183486238532	87.61467889908256	93.57798165137615	100.0
2001	OPTICS	79	93.67088607594937	29.11392405063291	78.48101265822785	94.9367088607595	100.0
2001	generic cluster*	286	96.5034965034965	39.86013986013986	82.16783216783217	95.1048951048951	98.95104895104895
2002	OPTICS	57	92.98245614035088	22.80701754385965	75.43859649122807	94.73684210526316	100.0
2002	generic cluster*	367	89.64577656675749	37.60217983651226	83.92370572207085	92.37057220708446	98.91008174386921
2003	hierarchical	63	80.95238095238095	39.682539682539684	71.42857142857143	79.36507936507937	96.82539682539682
2003	OPTICS	58	89.65517241379311	29.310344827586206	84.48275862068965	93.10344827586206	100.0
2003	generic cluster*	487	91.58110882956879	42.50513347022587	83.36755646817248	90.75975359342915	99.17864476386038
2004	hierarchical	109	73.39449541284404	27.522935779816514	85.3211009174312	81.65137614678899	99.08256880733946
2004	OPTICS	76	93.42105263157895	38.1578947368421	86.84210526315789	96.05263157894737	100.0
2004	generic cluster*	769	86.60598179453837	37.841352405721715	84.91547464239272	90.50715214564369	99.60988296488947
2005	k-means	59	45.76271186440678	30.508474576271187	59.32203389830509	79.66101694915254	93.22033898305085
2005	hierarchical	159	73.58490566037736	27.67295597484277	76.72955974842768	76.72955974842768	97.48427672955975
2005	OPTICS	110	96.36363636363636	21.818181818181817	88.18181818181819	94.54545454545455	100.0
2005	generic cluster*	1104	85.96014492753623	35.23550724637681	83.06159420289855	88.31521739130434	99.0036231884058
2006	k-means	99	39.39393939393939	19.19191919191919	69.6969696969697	77.77777777777777	92.92929292929293
2006	hierarchical	288	68.40277777777777	20.13888888888889	74.65277777777777	77.08333333333333	96.18055555555556
2006	OPTICS	177	96.045197740113	39.548022598870055	84.7457627118644	95.48022598870057	100.0
2006	generic cluster*	1653	86.38838475499092	32.849364791288565	80.8832425892317	86.99334543254689	98.79007864488808
2007	k-means	168	41.07142857142857	24.404761904761905	62.5	77.38095238095238	92.85714285714286
2007	hierarchical	482	68.04979253112033	17.012448132780083	71.16182572614107	78.00829875518673	96.6804979253112
2007	OPTICS	252	97.61904761904762	32.53968253968254	86.9047619047619	93.25396825396825	100.0
2007	GMM/mixture	51	43.13725490196079	21.568627450980394	64.70588235294117	72.54901960784314	90.19607843137256
2007	generic cluster*	2431	82.72315919374743	29.987659399424107	78.40394899218428	86.63101604278074	98.35458658988071
2008	k-means	219	42.465753424657535	14.61187214611872	67.57990867579909	77.1689497716895	94.06392694063926
2008	k-medoids/PAM	60	60.0	18.333333333333332	55.0	68.33333333333333	90.0
2008	hierarchical	589	73.3446519524618	18.33616298811545	75.55178268251274	81.66383701188455	97.79286926994907
2008	OPTICS	376	96.01063829787235	32.712765957446805	82.7127659574468	92.02127659574468	100.0
2008	GMM/mixture	74	51.351351351351354	18.91891891891892	52.7027027027027	79.72972972972973	93.24324324324324
2008	SOM	70	61.42857142857143	11.428571428571429	74.28571428571429	72.85714285714286	95.71428571428571
2008	MCL	54	68.51851851851852	33.333333333333336	68.51851851851852	90.74074074074075	98.14814814814815
2008	generic cluster*	3445	83.42525399129173	28.621190130624093	78.51959361393324	86.90856313497822	98.95500725689405
2009	k-means	241	47.302904564315355	18.25726141078838	61.41078838174274	80.08298755186722	95.02074688796681
2009	k-medoids/PAM	79	58.22784810126582	25.31645569620253	62.0253164556962	69.62025316455696	94.9367088607595
2009	hierarchical	777	76.96267696267697	16.98841698841699	74.38867438867439	79.92277992277992	97.16859716859717
2009	OPTICS	520	95.57692307692308	32.69230769230769	85.76923076923077	91.92307692307692	99.8076923076923
2009	GMM/mixture	95	57.89473684210526	15.789473684210526	50.526315789473685	78.94736842105263	92.63157894736842
2009	SOM	62	66.12903225806451	12.903225806451612	61.29032258064516	80.64516129032258	98.38709677419355
2009	MCL	93	73.11827956989248	24.731182795698924	61.29032258064516	81.72043010752688	92.47311827956989
2009	generic cluster*	4335	85.09803921568627	28.350634371395618	77.76239907727798	86.71280276816609	98.73125720876585
2010	k-means	368	52.44565217391305	17.934782608695652	67.93478260869566	77.98913043478261	94.56521739130434
2010	k-medoids/PAM	73	63.013698630136986	16.438356164383563	60.273972602739725	63.013698630136986	87.67123287671232
2010	hierarchical	1023	75.26881720430107	20.13685239491691	73.60703812316716	80.05865102639297	97.84946236559139
2010	OPTICS	805	95.77639751552795	35.27950310559006	84.59627329192547	92.4223602484472	99.87577639751552
2010	GMM/mixture	123	52.84552845528455	11.382113821138212	60.97560975609756	69.91869918699187	91.0569105691057
2010	SOM	81	61.72839506172839	20.987654320987655	66.66666666666667	77.77777777777777	95.06172839506173
2010	MCL	127	76.37795275590551	22.04724409448819	64.56692913385827	88.18897637795276	96.85039370078741
2010	leiden	51	96.07843137254902	23.529411764705884	70.58823529411765	94.11764705882354	98.03921568627452
2010	generic cluster*	5862	84.39099283520983	28.98328215626066	78.71033776867964	87.63220743773456	98.7035141589901
2011	k-means	418	51.196172248803826	16.985645933014354	68.42105263157895	75.83732057416267	95.2153110047847
2011	k-medoids/PAM	102	61.76470588235294	21.568627450980394	63.72549019607843	75.49019607843137	98.03921568627452
2011	hierarchical	1350	78.22222222222223	17.85185185185185	74.51851851851852	81.77777777777777	97.70370370370371
2011	OPTICS	1114	96.05026929982047	35.81687612208258	85.09874326750449	91.83123877917414	99.91023339317773
2011	GMM/mixture	152	64.47368421052632	19.736842105263158	55.921052631578945	68.42105263157895	93.42105263157895
